"filename", "language", "Markdown", "Python", "JSON Lines", "pip requirements", "YAML", "comment", "blank", "total"
"/Users/arjansingh/Wharton/CALENDAR_CRASH_FIX.md", "Markdown", 283, 0, 0, 0, 0, 0, 78, 361
"/Users/arjansingh/Wharton/CHANGELOG.md", "Markdown", 197, 0, 0, 0, 0, 0, 47, 244
"/Users/arjansingh/Wharton/CONSISTENT_PRICE_COLUMNS_FIX.md", "Markdown", 124, 0, 0, 0, 0, 0, 34, 158
"/Users/arjansingh/Wharton/EVENT_CALENDAR_FIX.md", "Markdown", 230, 0, 0, 0, 0, 0, 69, 299
"/Users/arjansingh/Wharton/GOOGLE_SHEETS_SETUP.md", "Markdown", 108, 0, 0, 0, 0, 0, 46, 154
"/Users/arjansingh/Wharton/METRICS_DISPLAY_FIX.md", "Markdown", 173, 0, 0, 0, 0, 0, 51, 224
"/Users/arjansingh/Wharton/MULTI_STOCK_QA_ARCHIVE_FIX.md", "Markdown", 158, 0, 0, 0, 0, 0, 41, 199
"/Users/arjansingh/Wharton/OPTIMIZATION_COMPLETED.md", "Markdown", 122, 0, 0, 0, 0, 0, 29, 151
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_ALL_STOCKS_FIX.md", "Markdown", 174, 0, 0, 0, 0, 0, 45, 219
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_BUGFIXES.md", "Markdown", 219, 0, 0, 0, 0, 0, 50, 269
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_DEBUGGING.md", "Markdown", 234, 0, 0, 0, 0, 0, 75, 309
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_DEBUG_FIX.md", "Markdown", 151, 0, 0, 0, 0, 0, 45, 196
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_ENGINE.md", "Markdown", 286, 0, 0, 0, 0, 0, 84, 370
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_FINAL_FIX.md", "Markdown", 174, 0, 0, 0, 0, 0, 59, 233
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_IMPLEMENTATION.md", "Markdown", 241, 0, 0, 0, 0, 0, 54, 295
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_QUICKSTART.md", "Markdown", 142, 0, 0, 0, 0, 0, 46, 188
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_ROBUST_CALCULATION.md", "Markdown", 269, 0, 0, 0, 0, 0, 80, 349
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_WORKSHEET_FIX.md", "Markdown", 124, 0, 0, 0, 0, 0, 34, 158
"/Users/arjansingh/Wharton/PERFORMANCE_ANALYSIS_WORKSHEET_SETUP.md", "Markdown", 135, 0, 0, 0, 0, 0, 52, 187
"/Users/arjansingh/Wharton/PERFORMANCE_OPTIMIZATION.md", "Markdown", 106, 0, 0, 0, 0, 0, 38, 144
"/Users/arjansingh/Wharton/POLYGON_PRICE_OPTIMIZATION.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/arjansingh/Wharton/PORTFOLIO_OPTIMIZATION_PLAN.md", "Markdown", 221, 0, 0, 0, 0, 0, 65, 286
"/Users/arjansingh/Wharton/PRICE_FETCH_OPTIMIZATION.md", "Markdown", 305, 0, 0, 0, 0, 0, 86, 391
"/Users/arjansingh/Wharton/PRICE_OPTIMIZATION_SUMMARY.md", "Markdown", 0, 0, 0, 0, 0, 0, 1, 1
"/Users/arjansingh/Wharton/RATIONALE_TRUNCATION_FIX.md", "Markdown", 112, 0, 0, 0, 0, 0, 29, 141
"/Users/arjansingh/Wharton/README.md", "Markdown", 260, 0, 0, 0, 0, 0, 73, 333
"/Users/arjansingh/Wharton/UI_IMPROVEMENTS.md", "Markdown", 306, 0, 0, 0, 0, 0, 105, 411
"/Users/arjansingh/Wharton/UPSIDE_OPTIMIZATION.md", "Markdown", 197, 0, 0, 0, 0, 0, 64, 261
"/Users/arjansingh/Wharton/agents/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"/Users/arjansingh/Wharton/agents/base_agent.py", "Python", 0, 68, 0, 0, 0, 40, 19, 127
"/Users/arjansingh/Wharton/agents/client_layer_agent.py", "Python", 0, 190, 0, 0, 0, 72, 51, 313
"/Users/arjansingh/Wharton/agents/growth_momentum_agent.py", "Python", 0, 328, 0, 0, 0, 41, 43, 412
"/Users/arjansingh/Wharton/agents/learning_agent.py", "Python", 0, 239, 0, 0, 0, 46, 67, 352
"/Users/arjansingh/Wharton/agents/macro_regime_agent.py", "Python", 0, 288, 0, 0, 0, 75, 61, 424
"/Users/arjansingh/Wharton/agents/risk_agent.py", "Python", 0, 338, 0, 0, 0, 130, 62, 530
"/Users/arjansingh/Wharton/agents/sentiment_agent.py", "Python", 0, 838, 0, 0, 0, 720, 59, 1617
"/Users/arjansingh/Wharton/agents/value_agent.py", "Python", 0, 279, 0, 0, 0, 43, 44, 366
"/Users/arjansingh/Wharton/app.py", "Python", 0, 7007, 0, 0, 0, 1862, 312, 9181
"/Users/arjansingh/Wharton/config/ips.yaml", "YAML", 0, 0, 0, 0, 165, 0, 1, 166
"/Users/arjansingh/Wharton/config/model.yaml", "YAML", 0, 0, 0, 0, 123, 17, 14, 154
"/Users/arjansingh/Wharton/config/universe.yaml", "YAML", 0, 0, 0, 0, 24, 12, 4, 40
"/Users/arjansingh/Wharton/data/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"/Users/arjansingh/Wharton/data/enhanced_data_provider.py", "Python", 0, 2305, 0, 0, 0, 314, 305, 2924
"/Users/arjansingh/Wharton/data/history/decision_history.jsonl", "JSON Lines", 0, 0, 105, 0, 0, 0, 1, 106
"/Users/arjansingh/Wharton/engine/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"/Users/arjansingh/Wharton/engine/ai_portfolio_selector.py", "Python", 0, 304, 0, 0, 0, 250, 62, 616
"/Users/arjansingh/Wharton/engine/backtest.py", "Python", 0, 274, 0, 0, 0, 62, 73, 409
"/Users/arjansingh/Wharton/engine/portfolio_orchestrator.py", "Python", 0, 741, 0, 0, 0, 161, 168, 1070
"/Users/arjansingh/Wharton/portfolio_selection_logs/README.md", "Markdown", 58, 0, 0, 0, 0, 0, 20, 78
"/Users/arjansingh/Wharton/requirements.txt", "pip requirements", 0, 0, 0, 20, 0, 7, 7, 34
"/Users/arjansingh/Wharton/test_parallel_speed.py", "Python", 0, 109, 0, 0, 0, 13, 31, 153
"/Users/arjansingh/Wharton/test_upside_scoring.py", "Python", 0, 125, 0, 0, 0, 7, 5, 137
"/Users/arjansingh/Wharton/tests/README.md", "Markdown", 95, 0, 0, 0, 0, 0, 31, 126
"/Users/arjansingh/Wharton/tests/test_ai_portfolio_system.py", "Python", 0, 110, 0, 0, 0, 10, 23, 143
"/Users/arjansingh/Wharton/tests/test_custom_weights.py", "Python", 0, 100, 0, 0, 0, 19, 21, 140
"/Users/arjansingh/Wharton/tests/test_polygon.py", "Python", 0, 65, 0, 0, 0, 9, 24, 98
"/Users/arjansingh/Wharton/utils/__init__.py", "Python", 0, 0, 0, 0, 0, 1, 0, 1
"/Users/arjansingh/Wharton/utils/client_profile_manager.py", "Python", 0, 264, 0, 0, 0, 53, 48, 365
"/Users/arjansingh/Wharton/utils/comprehensive_verification.py", "Python", 0, 341, 0, 0, 0, 100, 86, 527
"/Users/arjansingh/Wharton/utils/config_loader.py", "Python", 0, 115, 0, 0, 0, 17, 24, 156
"/Users/arjansingh/Wharton/utils/google_sheets_integration.py", "Python", 0, 209, 0, 0, 0, 90, 59, 358
"/Users/arjansingh/Wharton/utils/logger.py", "Python", 0, 86, 0, 0, 0, 24, 23, 133
"/Users/arjansingh/Wharton/utils/performance_analysis_engine.py", "Python", 0, 938, 0, 0, 0, 293, 140, 1371
"/Users/arjansingh/Wharton/utils/qa_system.py", "Python", 0, 615, 0, 0, 0, 91, 80, 786
"/Users/arjansingh/Wharton/utils/step_time_manager.py", "Python", 0, 133, 0, 0, 0, 34, 35, 202
"/Users/arjansingh/Wharton/utils/streamlit_log_handler.py", "Python", 0, 0, 0, 0, 0, 0, 1, 1
"Total", "-", 5204, 16409, 105, 20, 312, 4616, 3485, 30151